x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
976.976806640625,364.01641845703125,980.141357421875,360.4968566894531,973.417724609375,359.9045104980469,982.2562255859375,361.61553955078125,965.1231689453125,359.9299621582031,982.33447265625,380.92291259765625,952.0740966796875,379.042724609375,984.520263671875,408.34185791015625,937.464599609375,406.36181640625,983.6556396484375,433.0597229003906,935.1787109375,435.41119384765625,969.5355834960938,430.0372009277344,949.601318359375,429.25299072265625,971.370361328125,471.31353759765625,940.4075317382812,471.1136169433594,966.4990234375,509.2118225097656,932.99072265625,511.37457275390625
976.48486328125,365.07293701171875,979.6704711914062,361.48809814453125,972.942626953125,360.9345703125,981.960693359375,362.6516418457031,964.7722778320312,361.05889892578125,981.5643310546875,381.6585388183594,951.9595947265625,380.13897705078125,984.1444091796875,408.4576416015625,937.38916015625,407.87811279296875,983.8575439453125,433.09246826171875,933.7626342773438,439.1368103027344,967.4434814453125,429.56121826171875,948.1243896484375,428.8558044433594,969.6135864257812,471.09967041015625,940.2672119140625,470.8801574707031,962.697021484375,510.4725341796875,931.6224975585938,512.6631469726562
976.8590698242188,367.1800231933594,979.9163818359375,363.60723876953125,973.44189453125,363.07366943359375,981.61376953125,364.535400390625,965.058349609375,363.0002746582031,982.4954833984375,383.9836120605469,951.048095703125,383.04742431640625,986.5704345703125,410.8854675292969,936.5158081054688,410.6312255859375,988.7349853515625,437.65826416015625,932.8992919921875,442.57470703125,971.3663330078125,431.8805236816406,950.6634521484375,431.57720947265625,974.5087890625,471.03240966796875,941.38037109375,471.6544189453125,971.2933959960938,507.3948974609375,934.3101806640625,511.3157958984375
975.223388671875,367.6134338378906,978.6348266601562,363.9390563964844,971.2271728515625,363.4146423339844,981.8834838867188,365.58172607421875,962.5226440429688,363.7867126464844,984.168212890625,386.4385070800781,948.5684814453125,384.7681884765625,989.0010986328125,413.14501953125,934.8309326171875,412.587646484375,994.3875732421875,438.166259765625,931.7408447265625,443.97222900390625,970.5027465820312,435.28875732421875,947.3798217773438,434.64654541015625,973.35693359375,473.8285217285156,942.2950439453125,473.68359375,963.9251708984375,508.7899475097656,933.3651123046875,511.07928466796875
973.7012939453125,368.48638916015625,976.95458984375,364.8172607421875,969.7900390625,364.4872741699219,979.9740600585938,366.3582763671875,961.339111328125,365.1413269042969,981.8411865234375,386.1885681152344,947.8511352539062,386.244140625,988.2408447265625,410.748046875,934.6278076171875,414.61444091796875,994.7964477539062,432.80950927734375,932.7381591796875,445.0487365722656,967.7232055664062,434.55352783203125,945.6715087890625,434.7459411621094,972.079345703125,472.23345947265625,942.5531616210938,473.06646728515625,963.400634765625,506.6058654785156,933.4208984375,510.1036376953125
974.0026245117188,369.26458740234375,977.1070556640625,365.62994384765625,970.0994873046875,365.2464599609375,979.572998046875,367.32867431640625,961.26708984375,365.9057922363281,980.4356689453125,386.58197021484375,947.0015869140625,387.0013732910156,987.4996948242188,410.2330627441406,933.2678833007812,416.3443908691406,994.1075439453125,430.1199645996094,933.0426635742188,448.2184753417969,965.8060302734375,435.462890625,944.1014404296875,436.0313415527344,974.5457153320312,472.76788330078125,946.2327880859375,473.9110107421875,961.7003173828125,505.4565124511719,932.7794189453125,509.13922119140625
974.5515747070312,366.568115234375,977.6285400390625,363.1278076171875,970.7945556640625,362.54888916015625,979.4827880859375,364.8367919921875,962.2735595703125,363.0343322753906,979.2359619140625,382.99310302734375,949.0244140625,382.982666015625,990.1646118164062,403.38043212890625,934.0518798828125,410.0718994140625,1000.4148559570312,416.55255126953125,934.0090942382812,436.361572265625,966.7553100585938,434.229248046875,947.771484375,434.60906982421875,974.8928833007812,471.5885009765625,949.4954223632812,471.9566345214844,962.7669677734375,506.7761535644531,936.47607421875,508.309814453125
975.7508544921875,358.63519287109375,977.9835205078125,354.46868896484375,971.884033203125,354.3335266113281,978.2674560546875,356.4147033691406,963.7890625,355.5727844238281,978.201416015625,378.190185546875,950.6798095703125,377.0261535644531,987.3078002929688,402.6882019042969,934.4642944335938,402.01654052734375,998.1890258789062,423.7270202636719,934.02099609375,425.20391845703125,967.3795166015625,430.5907287597656,949.86572265625,430.56683349609375,970.8919677734375,467.5143127441406,946.6224975585938,467.8486328125,962.1842041015625,507.07958984375,933.6406860351562,508.667236328125
976.2340087890625,350.7880859375,978.788818359375,346.9933776855469,972.356689453125,347.0772399902344,980.0066528320312,349.01904296875,963.770263671875,348.846923828125,981.046875,367.94281005859375,950.0062255859375,371.0347900390625,992.6624755859375,388.0284423828125,935.9117431640625,399.6709899902344,1003.029052734375,402.596435546875,943.5511474609375,423.3328857421875,970.876953125,421.49298095703125,950.8096923828125,423.55950927734375,977.1564331054688,463.8984375,949.866943359375,466.8716125488281,969.0020751953125,503.00836181640625,938.4281616210938,508.5587158203125
975.861328125,346.2314453125,978.9303588867188,342.384033203125,972.232666015625,342.43658447265625,982.3702392578125,344.39556884765625,964.8892822265625,344.2875671386719,985.563720703125,363.91937255859375,951.7194213867188,366.51727294921875,997.7276611328125,385.5063171386719,939.7545166015625,394.71533203125,1006.4771118164062,403.76312255859375,948.9508056640625,417.441162109375,973.56396484375,416.2969665527344,951.45556640625,417.9716796875,979.8037109375,458.7371520996094,950.015869140625,461.582275390625,971.2088012695312,500.03057861328125,939.6088256835938,505.83135986328125
