Frame,Visibility,X,Y,Time
0,1,915,563,0.0
1,1,915,561,0.033333
2,1,915,559,0.066667
3,1,923,525,0.1
4,1,942,503,0.133333
5,1,960,484,0.166667
6,1,968,468,0.2
7,1,977,457,0.233333
8,1,980,454,0.266667
9,1,990,444,0.3
10,1,998,435,0.333333
11,1,1005,428,0.366667
12,1,1018,424,0.4
13,1,1025,423,0.433333
14,1,1025,421,0.466667
15,1,1033,424,0.5
16,1,1042,428,0.533333
17,1,1048,431,0.566667
18,1,1055,435,0.6
19,1,1063,444,0.633333
20,1,1065,444,0.666667
21,1,1070,450,0.7
22,1,1073,460,0.733333
23,1,1082,474,0.766667
24,1,1087,486,0.8
25,1,1097,475,0.833333
26,1,1103,437,0.866667
27,1,1117,411,0.9
28,1,1130,387,0.933333
29,1,1141,369,0.966667
30,1,1149,354,1.0
31,1,1157,340,1.033333
32,1,1160,339,1.066667
33,1,1168,330,1.1
34,1,1177,324,1.133333
35,1,1185,320,1.166667
36,1,1192,320,1.2
37,1,1198,320,1.233333
38,1,1200,320,1.266667
39,1,1206,324,1.3
40,1,1213,326,1.333333
41,1,1215,333,1.366667
42,1,1223,342,1.4
43,1,1230,354,1.433333
44,1,1230,354,1.466667
45,1,1235,367,1.5
46,1,1238,384,1.533333
47,1,1243,398,1.566667
48,1,1245,420,1.6
49,1,1250,439,1.633333
50,1,1250,439,1.666667
51,1,1254,463,1.7
52,1,1254,488,1.733333
53,1,1261,509,1.766667
54,1,1258,540,1.8
55,1,1261,564,1.833333
56,1,1261,561,1.866667
57,1,1223,497,1.9
58,1,1205,468,1.933333
59,1,1190,439,1.966667
60,1,1179,421,2.0
61,1,1170,411,2.033333
62,1,1168,410,2.066667
63,1,1163,403,2.1
64,1,1155,395,2.133333
65,1,1149,391,2.166667
66,1,1147,391,2.2
67,1,1144,391,2.233333
68,1,1141,391,2.266667
69,1,1141,395,2.3
70,1,1138,398,2.333333
71,1,1133,406,2.366667
72,1,1095,379,2.4
73,1,1065,354,2.433333
74,1,1065,356,2.466667
75,1,1035,339,2.5
76,1,1010,324,2.533333
77,1,984,309,2.566667
78,1,960,300,2.6
79,1,943,296,2.633333
80,1,941,293,2.666667
81,1,922,293,2.7
82,1,901,293,2.733333
83,1,885,293,2.766667
84,1,870,298,2.8
85,1,855,300,2.833333
86,1,855,300,2.866667
87,1,840,309,2.9
88,1,825,315,2.933333
89,1,810,328,2.966667
90,1,795,342,3.0
91,1,784,358,3.033333
92,1,784,358,3.066667
93,1,769,375,3.1
94,1,758,391,3.133333
95,1,743,413,3.166667
96,1,733,435,3.2
97,1,720,459,3.233333
98,1,720,459,3.266667
99,1,710,485,3.3
100,1,698,511,3.333333
101,1,697,395,3.366667
102,1,690,293,3.4
103,1,690,226,3.433333
104,1,690,226,3.466667
105,1,690,174,3.5
106,1,693,136,3.533333
107,1,688,103,3.566667
108,1,689,79,3.6
109,1,690,57,3.633333
110,1,690,54,3.666667
111,1,690,39,3.7
112,1,690,24,3.733333
113,1,690,16,3.766667
114,1,693,9,3.8
115,1,695,6,3.833333
116,1,695,5,3.866667
117,1,697,5,3.9
118,1,698,6,3.933333
119,1,698,5,3.966667
120,1,698,6,4.0
121,1,703,9,4.033333
122,1,703,9,4.066667
123,1,705,16,4.1
124,1,705,24,4.133333
125,1,708,34,4.166667
126,1,710,46,4.2
127,1,713,60,4.233333
128,1,713,60,4.266667
129,1,713,72,4.3
130,1,717,87,4.333333
131,1,720,102,4.366667
132,1,720,121,4.4
133,1,724,136,4.433333
134,1,724,138,4.466667
135,1,729,158,4.5
136,1,729,175,4.533333
137,1,761,218,4.566667
138,1,848,283,4.6
139,1,896,326,4.633333
140,1,897,324,4.666667
141,1,943,365,4.7
142,1,980,398,4.733333
143,1,1010,428,4.766667
144,1,1037,459,4.8
145,1,1063,488,4.833333
146,1,1063,488,4.866667
147,1,1087,519,4.9
148,1,1108,548,4.933333
149,1,1126,579,4.966667
150,1,1144,609,5.0
151,1,1163,635,5.033333
152,1,1163,635,5.066667
153,1,1179,664,5.1
154,1,1193,698,5.133333
155,1,1209,727,5.166667
156,1,1211,712,5.2
157,1,1215,656,5.233333
158,1,1215,653,5.266667
159,1,1209,613,5.3
160,1,1200,573,5.333333
161,1,1200,540,5.366667
162,1,1200,515,5.4
163,1,1198,493,5.433333
164,1,1198,491,5.466667
165,1,1198,470,5.5
166,1,1193,455,5.533333
167,1,1193,439,5.566667
168,1,1190,428,5.6
169,1,1190,421,5.633333
170,1,1190,418,5.666667
171,1,1185,411,5.7
172,1,1185,406,5.733333
173,1,1185,403,5.766667
174,1,1185,403,5.8
175,1,1185,403,5.833333
176,1,1185,403,5.866667
177,1,1185,406,5.9
178,1,1183,410,5.933333
179,1,1183,418,5.966667
180,1,1183,424,6.0
181,1,1183,435,6.033333
182,1,1183,435,6.066667
183,1,1183,447,6.1
184,1,1183,459,6.133333
185,1,1183,474,6.166667
186,1,1183,488,6.2
187,1,1183,508,6.233333
188,1,1183,506,6.266667
189,1,1193,493,6.3
190,1,1203,468,6.333333
191,1,1205,450,6.366667
192,1,1213,444,6.4
193,1,1223,435,6.433333
194,1,1223,435,6.466667
195,1,1230,424,6.5
196,1,1235,418,6.533333
197,1,1238,413,6.566667
198,1,1245,410,6.6
199,1,1247,410,6.633333
200,1,1250,410,6.666667
201,1,1254,411,6.7
202,1,1254,413,6.733333
203,1,1260,418,6.766667
204,1,1262,423,6.8
205,1,1269,433,6.833333
206,1,1269,435,6.866667
207,1,1273,444,6.9
208,1,1276,459,6.933333
209,1,1283,474,6.966667
210,1,1286,488,7.0
211,1,1290,511,7.033333
212,1,1290,511,7.066667
213,1,1295,530,7.1
214,1,1297,548,7.133333
215,1,1298,570,7.166667
216,1,1297,553,7.2
217,1,1290,522,7.233333
218,1,1290,519,7.266667
219,1,1290,502,7.3
220,1,1288,491,7.333333
221,1,1280,481,7.366667
222,1,1276,468,7.4
223,1,1273,459,7.433333
224,1,1273,455,7.466667
225,1,1273,447,7.5
226,1,1273,444,7.533333
227,1,1269,444,7.566667
228,1,1269,444,7.6
229,1,1267,447,7.633333
230,1,1265,447,7.666667
231,1,1261,450,7.7
232,1,1258,459,7.733333
233,1,1255,465,7.766667
234,1,1254,474,7.8
235,1,1250,478,7.833333
236,1,1247,483,7.866667
237,1,1245,495,7.9
238,1,1243,504,7.933333
239,1,1243,519,7.966667
240,1,1235,522,8.0
241,1,1193,502,8.033333
242,1,1192,502,8.066667
243,1,1157,480,8.1
244,1,1130,459,8.133333
245,1,1100,444,8.166667
246,1,1072,428,8.2
247,1,1048,421,8.233333
248,1,1046,421,8.266667
249,1,1020,411,8.3
250,1,995,406,8.333333
251,1,973,403,8.366667
252,1,949,398,8.4
253,1,930,398,8.433333
254,1,930,400,8.466667
255,1,908,403,8.5
256,1,890,406,8.533333
257,1,868,413,8.566667
258,1,851,421,8.6
259,1,833,433,8.633333
260,1,833,433,8.666667
261,1,817,444,8.7
262,1,799,459,8.733333
263,1,784,474,8.766667
264,1,769,488,8.8
265,1,755,508,8.833333
266,1,755,506,8.866667
267,1,740,525,8.9
268,1,729,540,8.933333
269,1,717,511,8.966667
270,1,717,496,9.0
271,1,711,485,9.033333
272,1,710,483,9.066667
273,1,703,465,9.1
274,1,703,452,9.133333
275,1,701,447,9.166667
276,1,698,444,9.2
277,1,695,444,9.233333
278,1,690,442,9.266667
279,1,688,439,9.3
280,1,683,435,9.333333
281,1,680,435,9.366667
282,1,678,439,9.4
283,1,680,447,9.433333
284,1,680,450,9.466667
285,1,682,459,9.5
286,1,688,470,9.533333
287,1,688,485,9.566667
288,1,688,504,9.6
289,1,688,522,9.633333
290,1,688,525,9.666667
291,1,688,540,9.7
292,1,690,561,9.733333
293,1,688,585,9.766667
294,1,683,605,9.8
295,1,683,631,9.833333
296,1,683,631,9.866667
297,1,683,653,9.9
298,1,683,679,9.933333
299,1,698,596,9.966667
300,1,711,497,10.0
301,1,720,435,10.033333
302,1,723,435,10.066667
303,1,729,382,10.1
304,1,738,339,10.133333
305,1,743,300,10.166667
306,1,750,267,10.2
307,1,755,244,10.233333
308,1,755,243,10.266667
309,1,758,221,10.3
310,1,766,204,10.333333
311,1,766,187,10.366667
312,1,773,174,10.4
313,1,773,166,10.433333
314,1,778,164,10.466667
315,1,780,156,10.5
316,1,780,150,10.533333
317,1,787,148,10.566667
318,1,788,145,10.6
319,1,793,145,10.633333
320,1,795,148,10.666667
321,1,795,148,10.7
322,1,802,150,10.733333
323,1,804,158,10.766667
324,1,810,166,10.8
325,1,810,174,10.833333
326,1,813,174,10.866667
327,1,818,185,10.9
328,1,821,195,10.933333
329,1,825,210,10.966667
330,1,825,223,11.0
331,1,833,241,11.033333
332,1,833,241,11.066667
333,1,833,256,11.1
334,1,838,275,11.133333
335,1,840,293,11.166667
336,1,843,309,11.2
337,1,845,328,11.233333
338,1,845,329,11.266667
339,1,848,350,11.3
340,1,852,369,11.333333
341,1,855,391,11.366667
342,1,858,406,11.4
343,1,885,373,11.433333
344,1,888,371,11.466667
345,1,908,346,11.5
346,1,928,324,11.533333
347,1,943,304,11.566667
348,1,958,293,11.6
349,1,969,283,11.633333
350,1,969,283,11.666667
351,1,982,275,11.7
352,1,990,271,11.733333
353,1,1003,267,11.766667
354,1,1012,266,11.8
355,1,1020,267,11.833333
356,1,1020,267,11.866667
357,1,1028,271,11.9
358,1,1035,275,11.933333
359,1,1043,283,11.966667
360,1,1050,293,12.0
361,1,1058,300,12.033333
362,1,1058,302,12.066667
363,1,1065,315,12.1
364,1,1070,330,12.133333
365,1,1075,346,12.166667
366,1,1080,363,12.2
367,1,1088,400,12.233333
368,1,1088,400,12.266667
369,1,1097,435,12.3
370,1,1102,459,12.333333
371,1,1108,480,12.366667
372,1,1110,497,12.4
373,1,1112,509,12.433333
374,1,1112,511,12.466667
375,1,1117,517,12.5
376,1,1115,502,12.533333
377,1,1112,486,12.566667
378,1,1110,476,12.6
379,1,1110,472,12.633333
380,1,1110,468,12.666667
381,1,1106,460,12.7
382,1,1103,457,12.733333
383,1,1103,450,12.766667
384,1,1103,447,12.8
385,1,1103,447,12.833333
386,1,1103,447,12.866667
387,1,1103,447,12.9
388,1,1103,447,12.933333
389,1,1103,444,12.966667
390,1,1103,441,13.0
391,1,1103,439,13.033333
392,1,1104,439,13.066667
393,1,1100,435,13.1
394,1,1099,435,13.133333
395,1,1100,435,13.166667
396,1,1097,434,13.2
397,1,1095,433,13.233333
398,1,1095,431,13.266667
399,1,1095,431,13.3
400,1,1100,435,13.333333
