Frame,Visibility,X,Y,Time
0,1,607,296,0.0
1,1,610,296,0.033333
2,1,622,291,0.066667
3,1,625,291,0.1
4,1,632,285,0.133333
5,1,645,277,0.166667
6,1,655,277,0.2
7,1,665,280,0.233333
8,1,673,280,0.266667
9,1,675,281,0.3
10,1,683,283,0.333333
11,1,690,285,0.366667
12,1,698,291,0.4
13,1,705,296,0.433333
14,1,713,306,0.466667
15,1,713,306,0.5
16,1,721,313,0.533333
17,1,725,322,0.566667
18,1,730,333,0.6
19,1,738,346,0.633333
20,1,743,357,0.666667
21,1,743,357,0.7
22,1,748,371,0.733333
23,1,753,386,0.766667
24,1,729,341,0.8
25,1,711,283,0.833333
26,1,699,249,0.866667
27,1,685,219,0.9
28,1,670,188,0.933333
29,1,653,156,0.966667
30,1,640,126,1.0
31,1,628,103,1.033333
32,1,618,86,1.066667
33,1,618,84,1.1
34,1,608,68,1.133333
35,1,600,54,1.166667
36,1,592,43,1.2
37,1,585,33,1.233333
38,1,581,26,1.266667
39,1,577,26,1.3
40,1,572,21,1.333333
41,1,567,16,1.366667
42,1,560,13,1.4
43,1,555,11,1.433333
44,1,552,11,1.466667
45,1,550,11,1.5
46,1,547,13,1.533333
47,1,543,16,1.566667
48,1,540,18,1.6
49,1,535,22,1.633333
50,1,535,26,1.666667
51,1,532,28,1.7
52,1,530,35,1.733333
53,1,527,42,1.766667
54,1,525,50,1.8
55,1,535,23,1.833333
