Frame,Visibility,X,Y,Time
0,1,897,389,0.0
1,1,927,278,0.033333
2,1,951,188,0.066667
3,1,973,118,0.1
4,1,988,60,0.133333
5,1,1005,10,0.166667
6,1,1005,9,0.2
7,0,0,0,0.233333
8,0,0,0,0.266667
9,0,0,0,0.3
10,0,0,0,0.333333
11,0,0,0,0.366667
12,0,0,0,0.4
13,0,0,0,0.433333
14,0,0,0,0.466667
15,0,0,0,0.5
16,0,0,0,0.533333
17,0,0,0,0.566667
18,0,0,0,0.6
19,0,0,0,0.633333
20,0,0,0,0.666667
21,0,0,0,0.7
22,0,0,0,0.733333
23,0,0,0,0.766667
24,0,0,0,0.8
25,0,0,0,0.833333
26,0,0,0,0.866667
27,0,0,0,0.9
28,0,0,0,0.933333
29,0,0,0,0.966667
30,0,0,0,1.0
31,0,0,0,1.033333
32,0,0,0,1.066667
33,0,0,0,1.1
34,0,0,0,1.133333
35,0,0,0,1.166667
36,0,0,0,1.2
37,0,0,0,1.233333
38,0,0,0,1.266667
39,0,0,0,1.3
40,0,0,0,1.333333
41,1,1209,10,1.366667
42,1,1211,10,1.4
43,1,1213,46,1.433333
44,1,1215,80,1.466667
45,1,1215,115,1.5
46,1,1217,150,1.533333
47,1,1220,189,1.566667
48,1,1220,189,1.6
49,1,1222,226,1.633333
50,1,1223,264,1.666667
51,1,1223,304,1.7
52,1,1223,342,1.733333
53,1,1228,379,1.766667
54,1,1228,379,1.8
55,1,1228,421,1.833333
56,1,1228,459,1.866667
57,1,1228,502,1.9
58,1,1230,540,1.933333
59,1,1230,579,1.966667
60,1,1230,579,2.0
61,1,1230,598,2.033333
62,1,1215,525,2.066667
63,1,1211,483,2.1
64,1,1206,457,2.133333
65,1,1200,435,2.166667
66,1,1200,433,2.2
67,1,1198,413,2.233333
68,1,1193,403,2.266667
69,1,1193,391,2.3
70,1,1190,384,2.333333
71,1,1190,379,2.366667
72,1,1190,379,2.4
73,1,1185,375,2.433333
74,1,1185,378,2.466667
75,1,1185,379,2.5
76,1,1185,384,2.533333
77,1,1185,387,2.566667
78,1,1185,391,2.6
79,1,1185,395,2.633333
80,1,1185,405,2.666667
81,1,1185,413,2.7
82,1,1185,424,2.733333
83,1,1185,435,2.766667
84,1,1185,435,2.8
85,1,1185,450,2.833333
86,1,1185,463,2.866667
87,1,1185,481,2.9
88,1,1185,496,2.933333
89,1,1190,504,2.966667
90,1,1188,504,3.0
91,1,1200,457,3.033333
92,1,1200,428,3.066667
93,1,1209,406,3.1
94,1,1215,384,3.133333
95,1,1222,367,3.166667
96,1,1223,365,3.2
97,1,1228,346,3.233333
98,1,1230,339,3.266667
99,1,1235,328,3.3
100,1,1238,324,3.333333
101,1,1243,315,3.366667
102,1,1245,315,3.4
103,1,1245,315,3.433333
104,1,1250,315,3.466667
105,1,1254,315,3.5
106,1,1258,324,3.533333
107,1,1261,328,3.566667
108,1,1261,329,3.6
109,1,1261,339,3.633333
110,1,1265,346,3.666667
111,1,1267,361,3.7
112,1,1269,375,3.733333
113,1,1269,395,3.766667
114,1,1269,395,3.8
115,1,1271,413,3.833333
116,1,1273,435,3.866667
117,1,1273,459,3.9
118,1,1273,481,3.933333
119,1,1276,508,3.966667
120,1,1275,509,4.0
121,1,1276,537,4.033333
122,1,1277,561,4.066667
123,1,1276,596,4.1
124,1,1263,546,4.133333
125,1,1232,403,4.166667
126,1,1232,405,4.2
127,1,1215,320,4.233333
128,1,1200,260,4.266667
129,1,1193,215,4.3
130,1,1185,178,4.333333
131,1,1179,150,4.366667
132,1,1179,150,4.4
133,1,1175,129,4.433333
134,1,1170,109,4.466667
135,1,1168,96,4.5
136,1,1163,86,4.533333
137,1,1160,78,4.566667
138,1,1160,75,4.6
139,1,1155,72,4.633333
140,1,1155,69,4.666667
141,1,1155,69,4.7
142,1,1153,69,4.733333
143,1,1153,69,4.766667
144,1,1153,71,4.8
145,1,1149,75,4.833333
146,1,1149,80,4.866667
147,1,1149,87,4.9
148,1,1149,99,4.933333
149,1,1149,106,4.966667
150,1,1149,108,5.0
151,1,1149,121,5.033333
152,1,1149,133,5.066667
153,1,1149,148,5.1
154,1,1147,163,5.133333
155,1,1149,178,5.166667
156,1,1149,178,5.2
157,1,1119,232,5.233333
158,1,1070,300,5.266667
159,1,1028,354,5.3
160,1,995,403,5.333333
161,1,970,437,5.366667
162,1,973,435,5.4
163,1,943,485,5.433333
164,1,919,521,5.466667
165,1,901,555,5.5
166,1,883,590,5.533333
167,1,864,624,5.566667
168,1,864,624,5.6
169,1,851,650,5.633333
170,1,833,691,5.666667
171,1,818,725,5.7
172,1,802,720,5.733333
173,1,793,664,5.766667
174,1,793,664,5.8
175,1,780,624,5.833333
176,1,778,587,5.866667
177,1,773,559,5.9
178,1,769,537,5.933333
179,1,766,521,5.966667
180,1,766,519,6.0
181,1,758,504,6.033333
182,1,758,491,6.066667
